d;omega;npp;sdmu;mu_a_bel;mu_b_bel;mu_a_brav;mu_b_brav;init_belligerence;init_bravery;time_step;mean_a_bel;mean_b_bel;mean_belligerence;mean_a_brav;mean_b_brav;mean_bravery;var_a_bel;var_b_bel;var_belligerence;var_a_brav;var_b_brav;var_bravery;n_escalated_contests;global_fecundity_total;file
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.121611;0;0.121611;0.115801;0;0.115801;0.00311944;0;0.00311944;0.00382323;0;0.00382323;124;4994.96;./sim_stress_06_08_2023_17324867
0.5;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0476024;0;0.0476024;-0.0368534;0;-0.0368534;0.00526455;0;0.00526455;0.0119817;0;0.0119817;49;4996.9;./sim_stress_06_08_2023_17324868
0.5;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0719772;0;0.0719772;0.0762884;0;0.0762884;0.00238131;0;0.00238131;0.00636919;0;0.00636919;71;4998.01;./sim_stress_06_08_2023_17324869
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0399809;0;0.0399809;0.00988139;0;0.00988139;0.0115126;0;0.0115126;0.00804732;0;0.00804732;34;4997.02;./sim_stress_06_08_2023_17324870
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.155787;0;0.155787;-0.0300061;0;-0.0300061;0.00282545;0;0.00282545;0.00678614;0;0.00678614;160;4994.48;./sim_stress_06_08_2023_17324871
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0951658;0;0.0951658;0.0964358;0;0.0964358;0.00559327;0;0.00559327;0.00319403;0;0.00319403;97;4996.33;./sim_stress_06_08_2023_17324872
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.172177;0;0.172177;0.0210957;0;0.0210957;0.00271883;0;0.00271883;0.00384567;0;0.00384567;158;4992.95;./sim_stress_06_08_2023_17324873
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.108327;0;0.108327;0.0213505;0;0.0213505;0.00449822;0;0.00449822;0.00695205;0;0.00695205;103;4996.14;./sim_stress_06_08_2023_17324874
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.152727;0;0.152727;0.037558;0;0.037558;0.00387162;0;0.00387162;0.0053557;0;0.0053557;144;4993.92;./sim_stress_06_08_2023_17324875
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0987515;0;0.0987515;-0.0563793;0;-0.0563793;0.00859692;0;0.00859692;0.00725266;0;0.00725266;93;4995.29;./sim_stress_06_08_2023_17324876
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.109556;0;0.109556;0.0334602;0;0.0334602;0.00218797;0;0.00218797;0.0167026;0;0.0167026;106;4994.52;./sim_stress_06_08_2023_17324877
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;-0.0340774;0;-0.0340774;-0.0589217;0;-0.0589217;0.00413227;0;0.00413227;0.00415248;0;0.00415248;2;4999.09;./sim_stress_06_08_2023_17324878
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.067835;0;0.067835;0.051612;0;0.051612;0.00264258;0;0.00264258;0.00520571;0;0.00520571;70;4998.53;./sim_stress_06_08_2023_17324879
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0124128;0;0.0124128;-0.0776633;0;-0.0776633;0.011369;0;0.011369;0.00218794;0;0.00218794;30;4998.04;./sim_stress_06_08_2023_17324880
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;-0.00262906;0;-0.00262906;0.0313156;0;0.0313156;0.00914704;0;0.00914704;0.00428175;0;0.00428175;14;4998.57;./sim_stress_06_08_2023_17324881
0.9;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;-0.0696052;0;-0.0696052;0.0662892;0;0.0662892;0.00436536;0;0.00436536;0.0058572;0;0.0058572;0;4998.14;./sim_stress_06_08_2023_17324882
0.9;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.0720747;0;0.0720747;-0.0373747;0;-0.0373747;0.00603754;0;0.00603754;0.00524304;0;0.00524304;64;4998.18;./sim_stress_06_08_2023_17324883
0.1;0.5;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.438902;0;0.438902;0.538041;0;0.538041;0.00123828;0;0.00123828;0.00114154;0;0.00114154;343;4400.03;./sim_stress_06_08_2023_17324884
0.1;0.9;5;0.02;0.01;0;0.01;0;0.5;0.5;50000;0.495671;0;0.495671;0.385268;0;0.385268;0.00152147;0;0.00152147;0.0015314;0;0.0015314;391;4580.87;./sim_stress_06_08_2023_17324885
